cement_co2,co2,coal_co2,gas_co2,oil_co2,share_global_co2
27.539,893.989,360.178,95.206,303.184,3.664
28.57,912.442,354.754,112.712,315.133,3.75
29.73,899.677,365.712,114.377,293.382,3.623
30.897,930.043,369.186,114.35,312.23,3.647
32.412,919.543,370.875,120.126,297.93,3.581
34.928,899.274,360.04,134.355,287.454,3.426
35.273,988.565,389.827,145.781,325.827,3.575
38.021,1044.867,416.583,152.687,349.551,3.651
41.903,1063.18,411.34,183.638,340.43,3.593
45.735,1092.166,417.527,179.343,369.361,3.568
49.202,1122.721,428.376,192.323,381.88,3.564
51.817,1175.62,452.062,195.08,405.632,3.669
58.048,1173.163,421.882,191.714,435.045,3.725
59.657,1215.374,427.883,201.908,456.557,3.649
58.925,1255.084,420.703,221.727,486.589,3.645
63.744,1255.852,425.732,234.034,467.255,3.595
65.686,1265.47,425.527,236.613,475.166,3.592
70.034,1344.915,439.206,239.099,535.639,3.792
74.038,1319.787,417.184,253.874,513.369,3.722
77.352,1355.494,424.01,269.761,526.466,3.823
75.881,1369.71,417.888,284.41,531.222,3.802
77.317,1357.075,414.995,287.449,517.776,3.691
78.396,1457.568,455.446,308.495,554.781,3.935
76.459,1356.436,428.24,304.783,492.185,3.875
84.853,1435.214,421.09,335.593,536.955,3.898
85.509,1416.627,401.602,322.712,552.049,3.813
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.0,,,,
,0.022,,,,
,0.037,,,,
,0.048,,,,
,0.048,,,,
,0.081,,,,
,0.132,,,,
,0.297,,,,
,0.297,,,,
,0.48,,,,
,1.799,,,,
,2.433,,,,
,3.338,,,,
,4.258,,,,
,4.778,,,,
,6.049,,,,
,5.518,,,,
,2.33,,,,
,3.909,,,,
,5.826,,,,
,7.896,,,,
,8.911,,,,
,10.263,,,,
,11.717,,,,
,12.93,,,,
,13.403,,,,
,15.385,,,,
,17.411,,,,
,16.865,,,,
,17.954,,,,
,19.606,,,,
,19.551,,,,
,19.606,,,,
,23.255,,,,
,25.344,,,,
,24.725,,,,
,25.443,,,,
,28.052,,,,
,27.986,,,,
,23.97,,,,
,29.045,,,,
,30.631,,,,
,32.185,,,,
,34.438,,,,
,33.841,,,,
,34.77,,,,
,35.802,,,,
,33.696,,,,
,29.464,,,,
,26.623,,,,
,28.491,,,,
,32.539,,,,
,35.91,,,,
,39.016,,,,
,41.844,,,,
,44.013,,,,
,46.853,,,,
,49.649,,,,
,54.023,,,,
,58.823,,,,
,60.12,,,,
,66.633,,,,
,67.527,,,,
,68.159,,,,
,67.935,,,,
,71.733,,,,
,77.324,,,,
,94.868,,,,
,101.125,,,,
,110.325,,,,
,112.007,,,,
,117.536,,,,
,129.402,,,,
,135.106,,,,
,141.593,,,,
,148.671,,,,
,147.841,,,,
,156.567,,,,
,161.994,,,,
,166.335,,,,
,176.335,,,,
,193.639,,,,
,213.634,,,,
,221.082,,,,
,237.045,,,,
,257.38,,,,
,277.916,,,,
,302.624,,,,
,331.861,,,,
,351.871,,,,
,378.003,,,,
,388.39,,,,
,387.265,,,,
,420.141,,,,
,433.115,,,,
,462.487,,,,
,499.061,,,,
,535.678,,,,
,548.563,,,,
,571.724,,,,
,594.557,,,,
,649.321,,,,
,665.683,,,,
,689.694,,,,
,689.7,,,,
,724.689,,,,
,697.789,,,,
,658.274,,,,
,687.822,,,,
,666.894,,,,
,706.651,,,,
,790.27,,,,
,844.546,,,,
,872.31,,,,
,893.978,,,,
,912.431,,,,
,899.667,,,,
,930.032,,,,
,919.532,,,,
,899.263,,,,
,988.554,,,,
,1044.856,,,,
,1063.169,,,,
,1092.155,,,,
,1122.71,,,,
,1175.609,,,,
,1173.152,,,,
,1215.363,,,,
,1255.073,,,,
,1255.84,,,,
,1265.459,,,,
,1344.904,,,,
,1319.776,,,,
,1355.479,,,,
,1369.699,,,,
,1357.064,,,,
,1457.553,,,,
,1356.417,,,,
,1435.196,,,,
,1416.609,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0.0,0.007,0.0,0.0,0.007,0.0
0.0,0.007,0.0,0.0,0.007,0.0
0.0,0.018,0.0,0.0,0.018,0.0
0.004,0.128,0.0,0.0,0.125,0.003
0.007,0.297,0.0,0.0,0.289,0.007
0.0,0.348,0.0,0.0,0.348,0.008
0.0,0.432,0.0,0.0,0.432,0.01
0.0,0.692,0.0,0.0,0.692,0.014
0.007,0.626,0.0,0.0,0.619,0.013
0.0,0.744,0.0,0.0,0.744,0.015
0.0,0.462,0.0,0.0,0.462,0.009
0.0,0.154,0.0,0.0,0.154,0.003
0.0,0.121,0.0,0.0,0.121,0.003
0.0,0.484,0.022,0.0,0.462,0.01
0.0,0.927,0.0,0.0,0.927,0.018
0.0,0.703,0.007,0.0,0.696,0.013
0.0,1.015,0.0,0.0,1.015,0.02
0.007,0.297,0.043,0.0,0.246,0.005
0.007,0.403,0.073,0.011,0.311,0.006
0.007,0.374,0.076,0.011,0.279,0.006
0.007,0.414,0.114,0.018,0.275,0.006
0.007,0.502,0.158,0.029,0.308,0.007
0.022,0.663,0.22,0.037,0.385,0.009
0.033,0.839,0.249,0.048,0.509,0.011
0.036,1.506,0.275,0.059,1.136,0.018
0.04,1.201,0.289,0.066,0.806,0.014
0.036,1.443,0.337,0.077,0.993,0.016
0.036,2.022,0.326,0.084,1.576,0.022
0.058,2.279,0.322,0.084,1.814,0.024
0.058,2.462,0.363,0.084,1.957,0.025
0.065,2.081,0.282,0.084,1.649,0.02
0.062,2.015,0.333,0.084,1.535,0.019
0.073,2.172,0.395,0.084,1.62,0.019
0.069,2.55,0.477,0.103,1.901,0.021
0.109,2.677,0.524,0.128,1.916,0.022
0.149,3.069,0.59,0.147,2.184,0.024
0.164,3.241,0.689,0.169,2.22,0.024
0.178,3.739,0.891,0.187,2.483,0.025
0.178,4.348,0.989,0.242,2.939,0.028
0.197,5.638,1.081,0.278,4.082,0.035
0.256,5.286,1.169,0.366,3.495,0.031
0.278,4.342,1.21,0.429,2.424,0.026
0.323,4.591,1.26,0.553,2.455,0.027
0.349,4.947,1.272,0.671,2.655,0.028
0.375,5.717,1.699,0.699,2.944,0.031
0.402,6.491,2.126,0.678,3.285,0.034
0.424,7.584,2.681,0.707,3.772,0.039
0.503,5.171,2.323,0.773,1.572,0.027
0.396,7.34,2.644,0.806,3.494,0.039
0.419,7.308,2.88,0.865,3.144,0.039
0.424,7.631,3.103,0.975,3.129,0.04
0.436,7.826,3.4,1.044,2.946,0.04
0.433,7.882,3.723,0.971,2.755,0.039
0.43,8.058,3.708,1.052,2.869,0.039
0.438,7.447,3.735,0.451,2.823,0.035
0.379,7.329,4.018,0.356,2.577,0.033
0.387,8.986,4.056,0.447,4.096,0.04
0.384,5.521,2.499,0.465,2.173,0.024
0.307,4.29,1.48,0.275,2.228,0.018
0.103,2.517,0.8,0.198,1.416,0.011
0.103,2.338,0.6,0.157,1.478,0.01
0.052,1.924,0.169,0.099,1.605,0.008
0.103,2.089,0.161,0.051,1.773,0.009
0.105,2.018,0.114,0.044,1.755,0.008
0.052,1.543,0.044,0.037,1.411,0.006
0.044,1.755,0.055,0.033,1.623,0.007
0.055,2.986,0.11,0.029,2.792,0.012
0.094,3.025,0.07,0.022,2.84,0.012
0.0,3.221,0.081,0.015,3.125,0.013
0.0,3.748,0.084,0.026,3.638,0.014
0.302,4.303,0.084,0.026,3.891,0.016
0.3,4.177,0.084,0.033,3.759,0.015
0.256,4.261,0.073,0.022,3.91,0.014
0.276,3.911,0.073,0.022,3.54,0.013
0.468,3.949,0.073,0.033,3.375,0.013
0.484,4.397,0.103,0.015,3.796,0.014
0.585,4.407,0.388,0.018,3.415,0.014
0.838,4.784,0.429,0.026,3.492,0.014
0.976,5.315,0.535,0.029,3.774,0.015
1.039,4.85,0.627,0.029,3.155,0.014
1.129,5.287,0.795,0.033,3.331,0.015
1.045,6.0,1.029,0.059,3.856,0.017
0.954,4.712,0.322,0.062,3.338,0.013
0.88,4.632,0.191,0.161,3.36,0.013
1.011,5.293,0.275,0.168,3.808,0.015
0.928,4.895,0.473,0.15,3.331,0.013
0.928,4.827,0.322,0.132,3.44,0.013
1.322,5.019,0.568,0.103,3.026,0.014
1.312,4.904,0.539,0.113,2.94,0.013
1.312,4.955,0.529,0.113,2.985,0.013
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,0.004,0.0,0.0,0.004,0.0
,0.007,0.004,0.0,0.004,0.0
,0.018,0.015,0.0,0.004,0.001
,0.018,0.015,0.0,0.003,0.001
,0.022,0.018,0.0,0.004,0.001
,0.026,0.026,0.0,0.0,0.001
,0.026,0.022,0.0,0.003,0.001
,0.015,0.011,0.0,0.004,0.0
,0.029,0.023,0.0,0.007,0.001
,0.033,0.026,0.0,0.007,0.001
,0.04,0.037,0.0,0.004,0.001
,0.059,0.055,0.0,0.004,0.001
0.025,0.073,0.044,0.0,0.004,0.002
0.028,0.08,0.042,0.0,0.011,0.002
0.033,0.084,0.044,0.0,0.007,0.002
0.038,0.099,0.057,0.0,0.004,0.003
0.044,0.113,0.066,0.0,0.004,0.004
0.036,0.121,0.081,0.0,0.004,0.004
0.047,0.139,0.092,0.0,0.0,0.004
0.032,0.132,0.1,0.0,0.0,0.003
0.033,0.051,0.018,0.0,0.0,0.001
0.033,0.069,0.037,0.0,0.0,0.002
0.0,0.033,0.033,0.0,0.0,0.001
0.0,0.161,0.051,0.11,0.0,0.004
0.0,0.238,0.147,0.092,0.0,0.005
0.0,0.311,0.213,0.099,0.0,0.006
0.0,0.498,0.392,0.106,0.0,0.01
0.04,0.469,0.311,0.117,0.0,0.009
0.047,0.498,0.316,0.131,0.004,0.01
0.051,0.615,0.429,0.136,0.0,0.014
0.058,0.762,0.569,0.135,0.0,0.016
